AÑO;MES;PAIS_RESIDENCIA;TIPO_VISITANTE;CCAA_DESTINO;VISITANTES
2016;1;Alemania;Turista;Andalucía;46118
2016;1;Alemania;Turista;Aragón ;1653
2016;1;Alemania;Turista;Baleares ;55191
2016;1;Alemania;Turista;C.F.Navarra ;1839
2016;1;Alemania;Turista;Canarias ;233016
2016;1;Alemania;Turista;Cantabria ;963
2016;1;Alemania;Turista;Castilla La Mancha ;1315
2016;1;Alemania;Turista;Castilla y León  ;3270
2016;1;Alemania;Turista;Cataluña  ;61085
2016;1;Alemania;Turista;Com.Madrid  ;25980
2016;1;Alemania;Turista;Com.Valenciana ;27621
2016;1;Alemania;Turista;Extremadura  ;60
2016;1;Alemania;Turista;Galicia  ;2237
2016;1;Alemania;Turista;La Rioja ;676
2016;1;Alemania;Turista;País Vasco ;4567
2016;1;Alemania;Turista;Principado de Asturias ;1283
2016;1;Alemania;Turista;Región de Murcia  ;2144
2016;1;América (sin EEUU);Turista;Andalucía;10715
2016;1;América (sin EEUU);Turista;Aragón ;456
2016;1;América (sin EEUU);Turista;Baleares ;2953
2016;1;América (sin EEUU);Turista;C.F.Navarra ;452
2016;1;América (sin EEUU);Turista;Canarias ;1977
2016;1;América (sin EEUU);Turista;Cantabria ;260
2016;1;América (sin EEUU);Turista;Castilla La Mancha ;1034
2016;1;América (sin EEUU);Turista;Castilla y León  ;218
2016;1;América (sin EEUU);Turista;Cataluña  ;53716
2016;1;América (sin EEUU);Turista;Com.Madrid  ;75217
2016;1;América (sin EEUU);Turista;Com.Valenciana ;3543
2016;1;América (sin EEUU);Turista;Extremadura  ;904
2016;1;América (sin EEUU);Turista;Galicia  ;1649
2016;1;América (sin EEUU);Turista;La Rioja ;65
2016;1;América (sin EEUU);Turista;País Vasco ;4098
2016;1;América (sin EEUU);Turista;Principado de Asturias ;145
2016;1;América (sin EEUU);Turista;Región de Murcia  ;671
2016;1;Bélgica;Turista;Andalucía;16682
2016;1;Bélgica;Turista;Aragón ;2363
2016;1;Bélgica;Turista;Baleares ;2848
2016;1;Bélgica;Turista;C.F.Navarra ;504
2016;1;Bélgica;Turista;Canarias ;36556
2016;1;Bélgica;Turista;Cantabria ;156
2016;1;Bélgica;Turista;Castilla La Mancha ;275
2016;1;Bélgica;Turista;Castilla y León  ;1405
2016;1;Bélgica;Turista;Cataluña  ;16748
2016;1;Bélgica;Turista;Ceuta;43
2016;1;Bélgica;Turista;Com.Madrid  ;11111
2016;1;Bélgica;Turista;Com.Valenciana ;15171
2016;1;Bélgica;Turista;Extremadura  ;567
2016;1;Bélgica;Turista;Galicia  ;147
2016;1;Bélgica;Turista;La Rioja ;310
2016;1;Bélgica;Turista;País Vasco ;2353
2016;1;Bélgica;Turista;Principado de Asturias ;853
2016;1;Bélgica;Turista;Región de Murcia  ;1773
2016;1;Estados Unidos de América;Turista;Andalucía;8556
2016;1;Estados Unidos de América;Turista;Aragón ;102
2016;1;Estados Unidos de América;Turista;Baleares ;878
2016;1;Estados Unidos de América;Turista;C.F.Navarra ;492
2016;1;Estados Unidos de América;Turista;Canarias ;4309
2016;1;Estados Unidos de América;Turista;Cantabria ;167
2016;1;Estados Unidos de América;Turista;Castilla y León  ;2184
2016;1;Estados Unidos de América;Turista;Cataluña  ;20299
2016;1;Estados Unidos de América;Turista;Com.Madrid  ;30022
2016;1;Estados Unidos de América;Turista;Com.Valenciana ;2080
2016;1;Estados Unidos de América;Turista;Extremadura  ;28
2016;1;Estados Unidos de América;Turista;Galicia  ;1127
2016;1;Estados Unidos de América;Turista;La Rioja ;108
2016;1;Estados Unidos de América;Turista;País Vasco ;2438
2016;1;Estados Unidos de América;Turista;Región de Murcia  ;250
2016;1;Francia;Turista;Andalucía;60812
2016;1;Francia;Turista;Aragón ;8146
2016;1;Francia;Turista;Baleares ;4526
2016;1;Francia;Turista;C.F.Navarra ;5183
2016;1;Francia;Turista;Canarias ;32445
2016;1;Francia;Turista;Cantabria ;5519
2016;1;Francia;Turista;Castilla La Mancha ;6024
2016;1;Francia;Turista;Castilla y León  ;15529
2016;1;Francia;Turista;Cataluña  ;216932
2016;1;Francia;Turista;Com.Madrid  ;35304
2016;1;Francia;Turista;Com.Valenciana ;41440
2016;1;Francia;Turista;Extremadura  ;1824
2016;1;Francia;Turista;Galicia  ;6270
2016;1;Francia;Turista;La Rioja ;2757
2016;1;Francia;Turista;País Vasco ;22092
2016;1;Francia;Turista;Principado de Asturias ;4076
2016;1;Francia;Turista;Región de Murcia  ;3683
2016;1;Irlanda;Turista;Andalucía;7874
2016;1;Irlanda;Turista;Aragón ;744
2016;1;Irlanda;Turista;Baleares ;687
2016;1;Irlanda;Turista;Canarias ;42081
2016;1;Irlanda;Turista;Cantabria ;101
2016;1;Irlanda;Turista;Castilla y León  ;34
2016;1;Irlanda;Turista;Cataluña  ;13450
2016;1;Irlanda;Turista;Com.Madrid  ;2473
2016;1;Irlanda;Turista;Com.Valenciana ;1262
2016;1;Irlanda;Turista;Galicia  ;138
2016;1;Irlanda;Turista;País Vasco ;254
2016;1;Irlanda;Turista;Región de Murcia  ;69
2016;1;Italia;Turista;Andalucía;19828
2016;1;Italia;Turista;Aragón ;1447
2016;1;Italia;Turista;Baleares ;5007
2016;1;Italia;Turista;C.F.Navarra ;1024
2016;1;Italia;Turista;Canarias ;36266
2016;1;Italia;Turista;Cantabria ;56
2016;1;Italia;Turista;Castilla La Mancha ;679
2016;1;Italia;Turista;Castilla y León  ;645
2016;1;Italia;Turista;Cataluña  ;75834
2016;1;Italia;Turista;Com.Madrid  ;44058
2016;1;Italia;Turista;Com.Valenciana ;29560
2016;1;Italia;Turista;Extremadura  ;762
2016;1;Italia;Turista;Galicia  ;974
2016;1;Italia;Turista;La Rioja ;430
2016;1;Italia;Turista;País Vasco ;5981
2016;1;Italia;Turista;Principado de Asturias ;2136
2016;1;Italia;Turista;Región de Murcia  ;1180
2016;1;Paises Nordicos ;Turista;Andalucía;50061
2016;1;Paises Nordicos ;Turista;Aragón ;368
2016;1;Paises Nordicos ;Turista;Baleares ;3850
2016;1;Paises Nordicos ;Turista;Canarias ;273125
2016;1;Paises Nordicos ;Turista;Cantabria ;320
2016;1;Paises Nordicos ;Turista;Castilla La Mancha ;49
2016;1;Paises Nordicos ;Turista;Castilla y León  ;342
2016;1;Paises Nordicos ;Turista;Cataluña  ;24178
2016;1;Paises Nordicos ;Turista;Ceuta;136
2016;1;Paises Nordicos ;Turista;Com.Madrid  ;8664
2016;1;Paises Nordicos ;Turista;Com.Valenciana ;26181
2016;1;Paises Nordicos ;Turista;Galicia  ;107
2016;1;Paises Nordicos ;Turista;País Vasco ;1413
2016;1;Paises Nordicos ;Turista;Principado de Asturias ;18
2016;1;Paises Nordicos ;Turista;Región de Murcia  ;2740
2016;1;Países Bajos;Turista;Andalucía;20130
2016;1;Países Bajos;Turista;Aragón ;712
2016;1;Países Bajos;Turista;Baleares ;1797
2016;1;Países Bajos;Turista;C.F.Navarra ;375
2016;1;Países Bajos;Turista;Canarias ;40773
2016;1;Países Bajos;Turista;Cantabria ;337
2016;1;Países Bajos;Turista;Castilla La Mancha ;130
2016;1;Países Bajos;Turista;Castilla y León  ;797
2016;1;Países Bajos;Turista;Cataluña  ;28908
2016;1;Países Bajos;Turista;Com.Madrid  ;8152
2016;1;Países Bajos;Turista;Com.Valenciana ;17575
2016;1;Países Bajos;Turista;Extremadura  ;460
2016;1;Países Bajos;Turista;Galicia  ;981
2016;1;Países Bajos;Turista;La Rioja ;78
2016;1;Países Bajos;Turista;País Vasco ;2040
2016;1;Países Bajos;Turista;Principado de Asturias ;297
2016;1;Países Bajos;Turista;Región de Murcia  ;1121
2016;1;Portugal;Turista;Andalucía;18740
2016;1;Portugal;Turista;Aragón ;1741
2016;1;Portugal;Turista;Baleares ;88
2016;1;Portugal;Turista;C.F.Navarra ;12
2016;1;Portugal;Turista;Canarias ;43
2016;1;Portugal;Turista;Cantabria ;534
2016;1;Portugal;Turista;Castilla La Mancha ;2163
2016;1;Portugal;Turista;Castilla y León  ;9744
2016;1;Portugal;Turista;Cataluña  ;13937
2016;1;Portugal;Turista;Com.Madrid  ;25357
2016;1;Portugal;Turista;Com.Valenciana ;13573
2016;1;Portugal;Turista;Extremadura  ;3194
2016;1;Portugal;Turista;Galicia  ;4720
2016;1;Portugal;Turista;La Rioja ;166
2016;1;Portugal;Turista;País Vasco ;1339
2016;1;Portugal;Turista;Principado de Asturias ;771
2016;1;Reino Unido;Turista;Andalucía;110424
2016;1;Reino Unido;Turista;Aragón ;6298
2016;1;Reino Unido;Turista;Baleares ;14940
2016;1;Reino Unido;Turista;C.F.Navarra ;1665
2016;1;Reino Unido;Turista;Canarias ;332017
2016;1;Reino Unido;Turista;Cantabria ;1027
2016;1;Reino Unido;Turista;Castilla La Mancha ;467
2016;1;Reino Unido;Turista;Castilla y León  ;3922
2016;1;Reino Unido;Turista;Cataluña  ;66094
2016;1;Reino Unido;Turista;Ceuta;107
2016;1;Reino Unido;Turista;Com.Madrid  ;25702
2016;1;Reino Unido;Turista;Com.Valenciana ;97001
2016;1;Reino Unido;Turista;Extremadura  ;2767
2016;1;Reino Unido;Turista;Galicia  ;6928
2016;1;Reino Unido;Turista;La Rioja ;772
2016;1;Reino Unido;Turista;País Vasco ;5211
2016;1;Reino Unido;Turista;Principado de Asturias ;3176
2016;1;Reino Unido;Turista;Región de Murcia  ;13774
2016;1;Resto de Europa ;Turista;Andalucía;21962
2016;1;Resto de Europa ;Turista;Aragón ;4089
2016;1;Resto de Europa ;Turista;Baleares ;4992
2016;1;Resto de Europa ;Turista;C.F.Navarra ;93
2016;1;Resto de Europa ;Turista;Canarias ;47616
2016;1;Resto de Europa ;Turista;Cantabria ;257
2016;1;Resto de Europa ;Turista;Castilla La Mancha ;829
2016;1;Resto de Europa ;Turista;Castilla y León  ;1295
2016;1;Resto de Europa ;Turista;Cataluña  ;106575
2016;1;Resto de Europa ;Turista;Com.Madrid  ;34904
2016;1;Resto de Europa ;Turista;Com.Valenciana ;9316
2016;1;Resto de Europa ;Turista;Extremadura  ;33
2016;1;Resto de Europa ;Turista;Galicia  ;803
2016;1;Resto de Europa ;Turista;La Rioja ;20401
2016;1;Resto de Europa ;Turista;País Vasco ;4686
2016;1;Resto de Europa ;Turista;Principado de Asturias ;371
2016;1;Resto de Europa ;Turista;Región de Murcia  ;1413
2016;1;Resto del mundo ;Turista;Andalucía;42338
2016;1;Resto del mundo ;Turista;Aragón ;454
2016;1;Resto del mundo ;Turista;Baleares ;1630
2016;1;Resto del mundo ;Turista;C.F.Navarra ;346
2016;1;Resto del mundo ;Turista;Canarias ;5126
2016;1;Resto del mundo ;Turista;Cantabria ;84
2016;1;Resto del mundo ;Turista;Castilla La Mancha ;1172
2016;1;Resto del mundo ;Turista;Castilla y León  ;1057
2016;1;Resto del mundo ;Turista;Cataluña  ;113586
2016;1;Resto del mundo ;Turista;Com.Madrid  ;53106
2016;1;Resto del mundo ;Turista;Com.Valenciana ;24068
2016;1;Resto del mundo ;Turista;Galicia  ;204
2016;1;Resto del mundo ;Turista;País Vasco ;2429
2016;1;Resto del mundo ;Turista;Principado de Asturias ;188
2016;1;Resto del mundo ;Turista;Región de Murcia  ;850
2016;1;Rusia;Turista;Andalucía;10354
2016;1;Rusia;Turista;Baleares ;402
2016;1;Rusia;Turista;Canarias ;8134
2016;1;Rusia;Turista;Castilla La Mancha ;298
2016;1;Rusia;Turista;Cataluña  ;26913
2016;1;Rusia;Turista;Com.Madrid  ;8157
2016;1;Rusia;Turista;Com.Valenciana ;4418
2016;1;Rusia;Turista;Galicia  ;61
2016;1;Rusia;Turista;País Vasco ;506
2016;1;Rusia;Turista;Región de Murcia  ;269
2016;1;Suiza ;Turista;Andalucía;8867
2016;1;Suiza ;Turista;Aragón ;1828
2016;1;Suiza ;Turista;Baleares ;2591
2016;1;Suiza ;Turista;C.F.Navarra ;37
2016;1;Suiza ;Turista;Canarias ;14896
2016;1;Suiza ;Turista;Cantabria ;203
2016;1;Suiza ;Turista;Castilla La Mancha ;43
2016;1;Suiza ;Turista;Castilla y León  ;958
2016;1;Suiza ;Turista;Cataluña  ;27587
2016;1;Suiza ;Turista;Com.Madrid  ;9213
2016;1;Suiza ;Turista;Com.Valenciana ;5326
2016;1;Suiza ;Turista;Extremadura  ;255
2016;1;Suiza ;Turista;Galicia  ;5308
2016;1;Suiza ;Turista;País Vasco ;702
2016;1;Suiza ;Turista;Principado de Asturias ;158
2016;1;Suiza ;Turista;Región de Murcia  ;563
2016;2;Alemania;Turista;Andalucía;43632
2016;2;Alemania;Turista;Aragón ;1443
2016;2;Alemania;Turista;Baleares ;91200
2016;2;Alemania;Turista;C.F.Navarra ;2657
2016;2;Alemania;Turista;Canarias ;213985
2016;2;Alemania;Turista;Cantabria ;926
2016;2;Alemania;Turista;Castilla La Mancha ;339
2016;2;Alemania;Turista;Castilla y León  ;2660
2016;2;Alemania;Turista;Cataluña  ;70293
2016;2;Alemania;Turista;Com.Madrid  ;17599
2016;2;Alemania;Turista;Com.Valenciana ;23236
2016;2;Alemania;Turista;Extremadura  ;1001
2016;2;Alemania;Turista;Galicia  ;925
2016;2;Alemania;Turista;La Rioja ;184
2016;2;Alemania;Turista;País Vasco ;8884
2016;2;Alemania;Turista;Principado de Asturias ;485
2016;2;Alemania;Turista;Región de Murcia  ;4429
2016;2;América (sin EEUU);Turista;Andalucía;11118
2016;2;América (sin EEUU);Turista;Aragón ;889
2016;2;América (sin EEUU);Turista;Baleares ;929
2016;2;América (sin EEUU);Turista;C.F.Navarra ;152
2016;2;América (sin EEUU);Turista;Canarias ;641
2016;2;América (sin EEUU);Turista;Cantabria ;602
2016;2;América (sin EEUU);Turista;Castilla La Mancha ;66
2016;2;América (sin EEUU);Turista;Castilla y León  ;1429
2016;2;América (sin EEUU);Turista;Cataluña  ;51257
2016;2;América (sin EEUU);Turista;Com.Madrid  ;43917
2016;2;América (sin EEUU);Turista;Com.Valenciana ;3101
2016;2;América (sin EEUU);Turista;Extremadura  ;171
2016;2;América (sin EEUU);Turista;Galicia  ;1577
2016;2;América (sin EEUU);Turista;País Vasco ;1273
2016;2;América (sin EEUU);Turista;Principado de Asturias ;658
2016;2;América (sin EEUU);Turista;Región de Murcia  ;287
2016;2;Bélgica;Turista;Andalucía;22083
2016;2;Bélgica;Turista;Aragón ;1219
2016;2;Bélgica;Turista;Baleares ;4619
2016;2;Bélgica;Turista;C.F.Navarra ;345
2016;2;Bélgica;Turista;Canarias ;30133
2016;2;Bélgica;Turista;Cantabria ;643
2016;2;Bélgica;Turista;Castilla La Mancha ;186
2016;2;Bélgica;Turista;Castilla y León  ;747
2016;2;Bélgica;Turista;Cataluña  ;22962
2016;2;Bélgica;Turista;Com.Madrid  ;8697
2016;2;Bélgica;Turista;Com.Valenciana ;20293
2016;2;Bélgica;Turista;Galicia  ;43
2016;2;Bélgica;Turista;La Rioja ;5
2016;2;Bélgica;Turista;País Vasco ;1431
2016;2;Bélgica;Turista;Principado de Asturias ;1544
2016;2;Bélgica;Turista;Región de Murcia  ;1416
2016;2;Estados Unidos de América;Turista;Andalucía;5669
2016;2;Estados Unidos de América;Turista;Aragón ;261
2016;2;Estados Unidos de América;Turista;Baleares ;2996
2016;2;Estados Unidos de América;Turista;Canarias ;520
2016;2;Estados Unidos de América;Turista;Cantabria ;454
2016;2;Estados Unidos de América;Turista;Castilla La Mancha ;196
2016;2;Estados Unidos de América;Turista;Castilla y León  ;777
2016;2;Estados Unidos de América;Turista;Cataluña  ;31851
2016;2;Estados Unidos de América;Turista;Com.Madrid  ;27738
2016;2;Estados Unidos de América;Turista;Com.Valenciana ;2342
2016;2;Estados Unidos de América;Turista;Galicia  ;1134
2016;2;Estados Unidos de América;Turista;La Rioja ;48
2016;2;Estados Unidos de América;Turista;País Vasco ;4125
2016;2;Estados Unidos de América;Turista;Principado de Asturias ;853
2016;2;Francia;Turista;Andalucía;69566
2016;2;Francia;Turista;Aragón ;7394
2016;2;Francia;Turista;Baleares ;5207
2016;2;Francia;Turista;C.F.Navarra ;1294
2016;2;Francia;Turista;Canarias ;47502
2016;2;Francia;Turista;Cantabria ;10845
2016;2;Francia;Turista;Castilla La Mancha ;2069
2016;2;Francia;Turista;Castilla y León  ;15291
2016;2;Francia;Turista;Cataluña  ;241828
2016;2;Francia;Turista;Com.Madrid  ;32623
2016;2;Francia;Turista;Com.Valenciana ;44760
2016;2;Francia;Turista;Extremadura  ;4928
2016;2;Francia;Turista;Galicia  ;5043
2016;2;Francia;Turista;La Rioja ;3752
2016;2;Francia;Turista;País Vasco ;29838
2016;2;Francia;Turista;Principado de Asturias ;2151
2016;2;Francia;Turista;Región de Murcia  ;7052
2016;2;Irlanda;Turista;Andalucía;17840
2016;2;Irlanda;Turista;Aragón ;321
2016;2;Irlanda;Turista;Baleares ;355
2016;2;Irlanda;Turista;C.F.Navarra ;117
2016;2;Irlanda;Turista;Canarias ;42654
2016;2;Irlanda;Turista;Cantabria ;200
2016;2;Irlanda;Turista;Castilla La Mancha ;153
2016;2;Irlanda;Turista;Castilla y León  ;153
2016;2;Irlanda;Turista;Cataluña  ;3355
2016;2;Irlanda;Turista;Ceuta;36
2016;2;Irlanda;Turista;Com.Madrid  ;3296
2016;2;Irlanda;Turista;Com.Valenciana ;236
2016;2;Irlanda;Turista;Galicia  ;95
2016;2;Irlanda;Turista;País Vasco ;235
2016;2;Irlanda;Turista;Principado de Asturias ;31
2016;2;Irlanda;Turista;Región de Murcia  ;36
2016;2;Italia;Turista;Andalucía;30709
2016;2;Italia;Turista;Aragón ;6773
2016;2;Italia;Turista;Baleares ;2025
2016;2;Italia;Turista;C.F.Navarra ;518
2016;2;Italia;Turista;Canarias ;30624
2016;2;Italia;Turista;Cantabria ;716
2016;2;Italia;Turista;Castilla La Mancha ;1532
2016;2;Italia;Turista;Castilla y León  ;2383
2016;2;Italia;Turista;Cataluña  ;76350
2016;2;Italia;Turista;Com.Madrid  ;38373
2016;2;Italia;Turista;Com.Valenciana ;23687
2016;2;Italia;Turista;Extremadura  ;271
2016;2;Italia;Turista;Galicia  ;398
2016;2;Italia;Turista;La Rioja ;13
2016;2;Italia;Turista;País Vasco ;2421
2016;2;Italia;Turista;Principado de Asturias ;136
2016;2;Italia;Turista;Región de Murcia  ;2250
2016;2;Paises Nordicos ;Turista;Andalucía;60457
2016;2;Paises Nordicos ;Turista;Aragón ;623
2016;2;Paises Nordicos ;Turista;Baleares ;5828
2016;2;Paises Nordicos ;Turista;C.F.Navarra ;1156
2016;2;Paises Nordicos ;Turista;Canarias ;246764
2016;2;Paises Nordicos ;Turista;Cantabria ;92
2016;2;Paises Nordicos ;Turista;Castilla y León  ;251
2016;2;Paises Nordicos ;Turista;Cataluña  ;39604
2016;2;Paises Nordicos ;Turista;Ceuta;151
2016;2;Paises Nordicos ;Turista;Com.Madrid  ;6091
2016;2;Paises Nordicos ;Turista;Com.Valenciana ;28567
2016;2;Paises Nordicos ;Turista;Galicia  ;143
2016;2;Paises Nordicos ;Turista;País Vasco ;2391
2016;2;Paises Nordicos ;Turista;Región de Murcia  ;6545
2016;2;Países Bajos;Turista;Andalucía;21284
2016;2;Países Bajos;Turista;Aragón ;1617
2016;2;Países Bajos;Turista;Baleares ;4174
2016;2;Países Bajos;Turista;C.F.Navarra ;112
2016;2;Países Bajos;Turista;Canarias ;52456
2016;2;Países Bajos;Turista;Cantabria ;439
2016;2;Países Bajos;Turista;Castilla La Mancha ;416
2016;2;Países Bajos;Turista;Castilla y León  ;687
2016;2;Países Bajos;Turista;Cataluña  ;31449
2016;2;Países Bajos;Turista;Com.Madrid  ;8507
2016;2;Países Bajos;Turista;Com.Valenciana ;22711
2016;2;Países Bajos;Turista;Extremadura  ;504
2016;2;Países Bajos;Turista;Galicia  ;459
2016;2;Países Bajos;Turista;La Rioja ;77
2016;2;Países Bajos;Turista;País Vasco ;2700
2016;2;Países Bajos;Turista;Principado de Asturias ;198
2016;2;Países Bajos;Turista;Región de Murcia  ;767
2016;2;Portugal;Turista;Andalucía;15018
2016;2;Portugal;Turista;Aragón ;2214
2016;2;Portugal;Turista;Baleares ;292
2016;2;Portugal;Turista;Cantabria ;562
2016;2;Portugal;Turista;Castilla La Mancha ;764
2016;2;Portugal;Turista;Castilla y León  ;7300
2016;2;Portugal;Turista;Cataluña  ;14992
2016;2;Portugal;Turista;Com.Madrid  ;21151
2016;2;Portugal;Turista;Com.Valenciana ;16378
2016;2;Portugal;Turista;Extremadura  ;2441
2016;2;Portugal;Turista;Galicia  ;19813
2016;2;Portugal;Turista;La Rioja ;470
2016;2;Portugal;Turista;País Vasco ;2568
2016;2;Portugal;Turista;Principado de Asturias ;478
2016;2;Reino Unido;Turista;Andalucía;130024
2016;2;Reino Unido;Turista;Aragón ;7862
2016;2;Reino Unido;Turista;Baleares ;20476
2016;2;Reino Unido;Turista;C.F.Navarra ;279
2016;2;Reino Unido;Turista;Canarias ;357330
2016;2;Reino Unido;Turista;Cantabria ;5237
2016;2;Reino Unido;Turista;Castilla La Mancha ;739
2016;2;Reino Unido;Turista;Castilla y León  ;3483
2016;2;Reino Unido;Turista;Cataluña  ;89246
2016;2;Reino Unido;Turista;Com.Madrid  ;32989
2016;2;Reino Unido;Turista;Com.Valenciana ;130845
2016;2;Reino Unido;Turista;Extremadura  ;1069
2016;2;Reino Unido;Turista;Galicia  ;141
2016;2;Reino Unido;Turista;La Rioja ;293
2016;2;Reino Unido;Turista;País Vasco ;5016
2016;2;Reino Unido;Turista;Principado de Asturias ;883
2016;2;Reino Unido;Turista;Región de Murcia  ;19932
2016;2;Resto de Europa ;Turista;Andalucía;11575
2016;2;Resto de Europa ;Turista;Aragón ;8221
2016;2;Resto de Europa ;Turista;Baleares ;17734
2016;2;Resto de Europa ;Turista;C.F.Navarra ;628
2016;2;Resto de Europa ;Turista;Canarias ;70214
2016;2;Resto de Europa ;Turista;Cantabria ;108
2016;2;Resto de Europa ;Turista;Castilla La Mancha ;310
2016;2;Resto de Europa ;Turista;Castilla y León  ;2943
2016;2;Resto de Europa ;Turista;Cataluña  ;83576
2016;2;Resto de Europa ;Turista;Com.Madrid  ;31031
2016;2;Resto de Europa ;Turista;Com.Valenciana ;12337
2016;2;Resto de Europa ;Turista;Extremadura  ;313
2016;2;Resto de Europa ;Turista;Galicia  ;393
2016;2;Resto de Europa ;Turista;La Rioja ;365
2016;2;Resto de Europa ;Turista;País Vasco ;2288
2016;2;Resto de Europa ;Turista;Principado de Asturias ;392
2016;2;Resto de Europa ;Turista;Región de Murcia  ;2817
2016;2;Resto del mundo ;Turista;Andalucía;44862
2016;2;Resto del mundo ;Turista;Aragón ;692
2016;2;Resto del mundo ;Turista;Baleares ;2479
2016;2;Resto del mundo ;Turista;C.F.Navarra ;124
2016;2;Resto del mundo ;Turista;Canarias ;5450
2016;2;Resto del mundo ;Turista;Cantabria ;392
2016;2;Resto del mundo ;Turista;Castilla La Mancha ;1239
2016;2;Resto del mundo ;Turista;Castilla y León  ;340
2016;2;Resto del mundo ;Turista;Cataluña  ;127411
2016;2;Resto del mundo ;Turista;Com.Madrid  ;49755
2016;2;Resto del mundo ;Turista;Com.Valenciana ;11619
2016;2;Resto del mundo ;Turista;Extremadura  ;99
2016;2;Resto del mundo ;Turista;Galicia  ;1114
2016;2;Resto del mundo ;Turista;La Rioja ;25
2016;2;Resto del mundo ;Turista;País Vasco ;3597
2016;2;Resto del mundo ;Turista;Principado de Asturias ;152
2016;2;Resto del mundo ;Turista;Región de Murcia  ;437
2016;2;Rusia;Turista;Andalucía;3990
2016;2;Rusia;Turista;Aragón ;208
2016;2;Rusia;Turista;Baleares ;241
2016;2;Rusia;Turista;Canarias ;6027
2016;2;Rusia;Turista;Castilla La Mancha ;120
2016;2;Rusia;Turista;Castilla y León  ;215
2016;2;Rusia;Turista;Cataluña  ;15853
2016;2;Rusia;Turista;Com.Madrid  ;4278
2016;2;Rusia;Turista;Com.Valenciana ;3060
2016;2;Rusia;Turista;Galicia  ;62
2016;2;Rusia;Turista;País Vasco ;194
2016;2;Rusia;Turista;Región de Murcia  ;207
2016;2;Suiza ;Turista;Andalucía;5452
2016;2;Suiza ;Turista;Aragón ;22
2016;2;Suiza ;Turista;Baleares ;6180
2016;2;Suiza ;Turista;Canarias ;10445
2016;2;Suiza ;Turista;Cantabria ;170
2016;2;Suiza ;Turista;Castilla y León  ;1115
2016;2;Suiza ;Turista;Cataluña  ;30327
2016;2;Suiza ;Turista;Com.Madrid  ;6750
2016;2;Suiza ;Turista;Com.Valenciana ;6415
2016;2;Suiza ;Turista;Extremadura  ;489
2016;2;Suiza ;Turista;Galicia  ;4760
2016;2;Suiza ;Turista;La Rioja ;1214
2016;2;Suiza ;Turista;País Vasco ;961
2016;2;Suiza ;Turista;Principado de Asturias ;379
2016;2;Suiza ;Turista;Región de Murcia  ;345
2016;3;Alemania;Turista;Andalucía;79616
2016;3;Alemania;Turista;Aragón ;3162
2016;3;Alemania;Turista;Baleares ;210991
2016;3;Alemania;Turista;C.F.Navarra ;974
2016;3;Alemania;Turista;Canarias ;253255
2016;3;Alemania;Turista;Cantabria ;3602
2016;3;Alemania;Turista;Castilla La Mancha ;1044
2016;3;Alemania;Turista;Castilla y León  ;5080
2016;3;Alemania;Turista;Cataluña  ;100243
2016;3;Alemania;Turista;Com.Madrid  ;32910
2016;3;Alemania;Turista;Com.Valenciana ;31628
2016;3;Alemania;Turista;Extremadura  ;973
2016;3;Alemania;Turista;Galicia  ;1591
2016;3;Alemania;Turista;La Rioja ;655
2016;3;Alemania;Turista;País Vasco ;6076
2016;3;Alemania;Turista;Principado de Asturias ;955
2016;3;Alemania;Turista;Región de Murcia  ;4865
2016;3;América (sin EEUU);Turista;Andalucía;8029
2016;3;América (sin EEUU);Turista;Aragón ;1601
2016;3;América (sin EEUU);Turista;Baleares ;909
2016;3;América (sin EEUU);Turista;C.F.Navarra ;416
2016;3;América (sin EEUU);Turista;Canarias ;2139
2016;3;América (sin EEUU);Turista;Cantabria ;237
2016;3;América (sin EEUU);Turista;Castilla La Mancha ;49
2016;3;América (sin EEUU);Turista;Castilla y León  ;251
2016;3;América (sin EEUU);Turista;Cataluña  ;46373
2016;3;América (sin EEUU);Turista;Com.Madrid  ;59897
2016;3;América (sin EEUU);Turista;Com.Valenciana ;3359
2016;3;América (sin EEUU);Turista;Extremadura  ;154
2016;3;América (sin EEUU);Turista;Galicia  ;1396
2016;3;América (sin EEUU);Turista;La Rioja ;289
2016;3;América (sin EEUU);Turista;País Vasco ;7544
2016;3;América (sin EEUU);Turista;Principado de Asturias ;388
2016;3;América (sin EEUU);Turista;Región de Murcia  ;154
2016;3;Bélgica;Turista;Andalucía;42590
2016;3;Bélgica;Turista;Aragón ;3865
2016;3;Bélgica;Turista;Baleares ;10956
2016;3;Bélgica;Turista;C.F.Navarra ;322
2016;3;Bélgica;Turista;Canarias ;32714
2016;3;Bélgica;Turista;Cantabria ;638
2016;3;Bélgica;Turista;Castilla La Mancha ;580
2016;3;Bélgica;Turista;Castilla y León  ;868
2016;3;Bélgica;Turista;Cataluña  ;18830
2016;3;Bélgica;Turista;Com.Madrid  ;4602
2016;3;Bélgica;Turista;Com.Valenciana ;24590
2016;3;Bélgica;Turista;Extremadura  ;151
2016;3;Bélgica;Turista;Galicia  ;527
2016;3;Bélgica;Turista;La Rioja ;86
2016;3;Bélgica;Turista;País Vasco ;3916
2016;3;Bélgica;Turista;Principado de Asturias ;242
2016;3;Bélgica;Turista;Región de Murcia  ;3105
2016;3;Estados Unidos de América;Turista;Andalucía;10797
2016;3;Estados Unidos de América;Turista;Aragón ;1115
2016;3;Estados Unidos de América;Turista;Baleares ;2589
